location,continent,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,population
Western Sahara,Africa,2022-04-20,0.0,0.0,0.0,0.0,0.0,576005
Northern Cyprus,Asia,2022-12-06,0.0,0.0,0.0,0.0,0.0,382836
Macao,Asia,2023-04-13,0.0,0.0,0.0,0.0,1802985.0,695180
Wales,Europe,2023-07-12,0.0,0.0,0.0,0.0,0.0,3170000
Taiwan,Asia,2023-09-24,0.0,0.0,0.0,0.0,68158988.0,23893396
Scotland,Europe,2023-10-02,0.0,0.0,0.0,0.0,0.0,5466000
England,Europe,2023-12-08,0.0,0.0,0.0,0.0,0.0,56550000
Northern Ireland,Europe,2023-12-11,0.0,0.0,0.0,0.0,0.0,1896000
Uzbekistan,Asia,2024-08-04,175081.0,0.0,1016.0,0.0,0.0,34627648
Marshall Islands,Oceania,2024-08-04,16297.0,0.0,17.0,0.0,0.0,41593
Tajikistan,Asia,2024-08-04,17786.0,0.0,125.0,0.0,0.0,9952789
Japan,Asia,2024-08-04,33803572.0,0.0,74694.0,0.0,0.0,123951696
South Sudan,Africa,2024-08-04,18823.0,0.0,147.0,0.0,0.0,10913172
Aruba,North America,2024-08-04,44224.0,0.0,292.0,0.0,0.0,106459
Saint Barthelemy,North America,2024-08-04,5507.0,0.0,5.0,0.0,0.0,10994
Wallis and Futuna,Oceania,2024-08-04,3760.0,0.0,9.0,0.0,0.0,11596
Vanuatu,Oceania,2024-08-04,12019.0,0.0,14.0,0.0,0.0,326744
Guadeloupe,North America,2024-08-04,203235.0,0.0,1021.0,0.0,0.0,395762
Malawi,Africa,2024-08-04,89168.0,0.0,2686.0,0.0,0.0,20405318
Bolivia,South America,2024-08-04,1212147.0,2.0,22387.0,0.0,0.0,12224114
Democratic Republic of Congo,Africa,2024-08-04,101009.0,0.0,1474.0,0.0,0.0,99010216
Nepal,Asia,2024-08-04,1003450.0,0.0,12031.0,0.0,0.0,30547586
Rwanda,Africa,2024-08-04,133264.0,0.0,1468.0,0.0,0.0,13776702
Chad,Africa,2024-08-04,7702.0,0.0,194.0,0.0,0.0,17723312
Saint Lucia,North America,2024-08-04,30282.0,0.0,410.0,0.0,0.0,179872
French Guiana,South America,2024-08-04,98041.0,0.0,413.0,0.0,0.0,304568
East Timor,Asia,2024-08-04,23460.0,0.0,138.0,0.0,0.0,1341298
Martinique,North America,2024-08-04,230354.0,0.0,1104.0,0.0,0.0,367512
Guyana,South America,2024-08-04,74443.0,4.0,1302.0,0.0,0.0,808727
Canada,North America,2024-08-04,4819055.0,38.0,55282.0,0.0,0.0,38454328
Bermuda,North America,2024-08-04,18860.0,0.0,165.0,0.0,0.0,64207
Netherlands,Europe,2024-08-04,8640008.0,383.0,22986.0,0.0,0.0,17564020
Ethiopia,Africa,2024-08-04,501193.0,0.0,7574.0,0.0,0.0,123379928
Guam,Oceania,2024-08-04,52287.0,0.0,419.0,0.0,0.0,171783
Egypt,Africa,2024-08-04,516023.0,0.0,24830.0,0.0,0.0,110990096
New Caledonia,Oceania,2024-08-04,80163.0,0.0,314.0,0.0,0.0,289959
Bahamas,North America,2024-08-04,39127.0,0.0,849.0,0.0,0.0,409989
Saint Kitts and Nevis,North America,2024-08-04,6607.0,0.0,46.0,0.0,0.0,47681
Madagascar,Africa,2024-08-04,68567.0,0.0,1428.0,0.0,0.0,29611718
Monaco,Europe,2024-08-04,17181.0,0.0,67.0,0.0,0.0,36491
Armenia,Asia,2024-08-04,452273.0,0.0,8777.0,0.0,0.0,2780472
El Salvador,North America,2024-08-04,201920.0,3.0,4230.0,0.0,0.0,6336393
Grenada,North America,2024-08-04,19693.0,0.0,238.0,0.0,0.0,125459
Solomon Islands,Oceania,2024-08-04,25954.0,0.0,199.0,0.0,0.0,724272
Faroe Islands,Europe,2024-08-04,34658.0,0.0,28.0,0.0,0.0,53117
Togo,Africa,2024-08-04,39530.0,0.0,290.0,0.0,0.0,8848700
Bhutan,Asia,2024-08-04,62697.0,0.0,21.0,0.0,0.0,782457
Algeria,Africa,2024-08-04,272139.0,18.0,6881.0,0.0,0.0,44903228
Thailand,Asia,2024-08-04,4799180.0,560.0,34715.0,1.0,0.0,71697024
Afghanistan,Asia,2024-08-04,235214.0,0.0,7998.0,0.0,0.0,41128772
Saint Martin (French part),North America,2024-08-04,12324.0,0.0,46.0,0.0,0.0,31816
Tanzania,Africa,2024-08-04,43230.0,0.0,846.0,0.0,0.0,65497752
Saint Helena,Africa,2024-08-04,2166.0,0.0,0.0,0.0,0.0,5401
Colombia,South America,2024-08-04,6391876.0,976.0,142727.0,0.0,0.0,51874028
Jamaica,North America,2024-08-04,157181.0,12.0,3611.0,0.0,0.0,2827382
North Macedonia,Europe,2024-08-04,350924.0,116.0,9978.0,0.0,0.0,2093606
Jersey,Europe,2024-08-04,66391.0,0.0,161.0,0.0,0.0,110796
Senegal,Africa,2024-08-04,89485.0,0.0,1971.0,0.0,0.0,17316452
Turks and Caicos Islands,North America,2024-08-04,6805.0,0.0,40.0,0.0,0.0,45726
Panama,North America,2024-08-04,1044821.0,0.0,8748.0,0.0,0.0,4408582
Anguilla,North America,2024-08-04,3904.0,0.0,12.0,0.0,0.0,15877
China,Asia,2024-08-04,99373219.0,2087.0,122304.0,15.0,0.0,1425887360
Mauritius,Africa,2024-08-04,328167.0,0.0,1073.0,0.0,0.0,1299478
Austria,Europe,2024-08-04,6082444.0,15.0,22534.0,0.0,0.0,8939617
Sweden,Europe,2024-08-04,2755181.0,630.0,27399.0,28.0,0.0,10549349
South Korea,Asia,2024-08-04,34571873.0,0.0,35934.0,0.0,0.0,51815808
South Africa,Africa,2024-08-04,4072765.0,0.0,102595.0,0.0,0.0,59893884
Germany,Europe,2024-08-04,38437756.0,0.0,174979.0,0.0,0.0,83369840
Laos,Asia,2024-08-04,219060.0,0.0,671.0,0.0,0.0,7529477
Niue,Oceania,2024-08-04,1074.0,0.0,0.0,0.0,0.0,1952
United States,North America,2024-08-04,103436829.0,0.0,1193165.0,619.0,0.0,338289856
Palestine,Asia,2024-08-04,703228.0,0.0,5708.0,0.0,0.0,5250076
Mauritania,Africa,2024-08-04,63872.0,0.0,997.0,0.0,0.0,4736146
Tuvalu,Oceania,2024-08-04,2943.0,0.0,1.0,0.0,0.0,11335
Brunei,Asia,2024-08-04,347723.0,288.0,179.0,1.0,0.0,449002
Vatican,Europe,2024-08-04,26.0,0.0,0.0,0.0,0.0,808
Serbia,Europe,2024-08-04,2583470.0,0.0,18057.0,0.0,0.0,6871547
Indonesia,Asia,2024-08-04,6829399.0,46.0,162059.0,0.0,0.0,275501344
Latvia,Europe,2024-08-04,977765.0,0.0,7475.0,0.0,0.0,1850654
Croatia,Europe,2024-08-04,1317144.0,0.0,18752.0,0.0,0.0,4030361
Mali,Africa,2024-08-04,33166.0,0.0,743.0,0.0,0.0,22593598
Costa Rica,North America,2024-08-04,1234701.0,0.0,9372.0,0.0,0.0,5180836
Comoros,Africa,2024-08-04,9109.0,0.0,160.0,0.0,0.0,836783
Nigeria,Africa,2024-08-04,267188.0,0.0,3155.0,0.0,0.0,218541216
Cuba,North America,2024-08-04,1113662.0,0.0,8530.0,0.0,0.0,11212198
Paraguay,South America,2024-08-04,735759.0,0.0,19880.0,0.0,0.0,6780745
Saudi Arabia,Asia,2024-08-04,841469.0,0.0,9646.0,0.0,0.0,36408824
Iraq,Asia,2024-08-04,2465545.0,0.0,25375.0,0.0,0.0,44496124
Spain,Europe,2024-08-04,13980340.0,0.0,121852.0,0.0,0.0,47558632
